@RELATION test
@ATTRIBUTE col0 NUMERIC
@ATTRIBUTE col1 NUMERIC
@ATTRIBUTE col2 NUMERIC
@ATTRIBUTE col3 NUMERIC
@ATTRIBUTE col4 NUMERIC
@ATTRIBUTE class {'g','b'}
@DATA
50.0,28.0,4163.0,138789.0,3.0,'g'
54.0,23.0,29474.0,105267.0,5.0,'g'
50.0,27.0,2443.0,122170.0,1.0,'g'
29.0,0.0,33671.0,160341.0,0.0,'g'
45.0,16.0,0.0,85938.0,0.0,'g'
35.0,8.0,20668.0,158986.0,3.0,'g'
58.0,30.0,11435.0,190591.0,1.0,'g'
52.0,24.0,31340.0,184355.0,3.0,'g'
54.0,32.0,17368.0,64327.0,5.0,'g'
47.0,10.0,17806.0,104747.0,2.0,'g'
58.0,35.0,1331.0,133162.0,0.0,'g'
37.0,17.0,47511.0,197963.0,3.0,'g'
40.0,11.0,20146.0,83944.0,0.0,'g'
55.0,25.0,20530.0,76038.0,1.0,'g'
41.0,3.0,3134.0,156700.0,5.0,'g'
41.0,21.0,0.0,163005.0,4.0,'g'
56.0,31.0,1780.0,178065.0,3.0,'g'
47.0,25.0,7148.0,59573.0,3.0,'g'
50.0,27.0,16120.0,55589.0,4.0,'g'
57.0,21.0,0.0,176329.0,0.0,'g'
28.0,4.0,6773.0,84671.0,4.0,'g'
27.0,5.0,20963.0,174698.0,2.0,'g'
31.0,2.0,16571.0,150653.0,0.0,'g'
49.0,29.0,11355.0,94632.0,0.0,'g'
54.0,26.0,11567.0,192787.0,5.0,'g'
38.0,2.0,11315.0,161652.0,2.0,'g'
32.0,1.0,15661.0,120474.0,3.0,'g'
33.0,10.0,16680.0,119149.0,4.0,'g'
47.0,26.0,15834.0,58645.0,1.0,'g'
50.0,30.0,13289.0,189855.0,1.0,'g'
45.0,23.0,15330.0,153304.0,4.0,'g'
49.0,17.0,1057.0,52894.0,5.0,'g'
43.0,23.0,31886.0,138637.0,5.0,'g'
44.0,11.0,662.0,66224.0,4.0,'b'
41.0,21.0,2948.0,98286.0,3.0,'g'
54.0,19.0,22877.0,134573.0,2.0,'g'
36.0,4.0,1043.0,104320.0,0.0,'b'
56.0,22.0,32956.0,131824.0,2.0,'g'
50.0,20.0,28403.0,189357.0,5.0,'g'
52.0,32.0,10597.0,176619.0,4.0,'g'
34.0,13.0,38407.0,138039.0,2.0,'g'
57.0,25.0,16680.0,119146.0,5.0,'g'
36.0,2.0,0.0,79446.0,5.0,'b'
34.0,7.0,8989.0,179792.0,0.0,'g'
45.0,22.0,879.0,87911.0,4.0,'g'
53.0,32.0,24364.0,84014.0,5.0,'g'
33.0,9.0,1782.0,89140.0,4.0,'b'
31.0,0.0,24894.0,118544.0,3.0,'g'
42.0,13.0,22386.0,172202.0,5.0,'g'
57.0,24.0,4583.0,152773.0,1.0,'g'
41.0,14.0,10674.0,177912.0,0.0,'g'
