TupleID FalsePositive cost label perc 
279 0 0.00E+00 Cost1 0.4 
452 0 0.00E+00 Cost1 0.4 
809 0 1.53E+04 Cost1 0.4 
657 0 1.57E+04 Cost1 0.4 
161 0 2.28E+04 Cost1 0.4 
485 0 2.28E+04 Cost1 0.4 
328 0 4.07E+04 Cost1 0.4 
463 0 4.07E+04 Cost1 0.4 
181 0 4.07E+04 Cost1 0.4 
581 0 4.07E+04 Cost1 0.4 
878 0 4.07E+04 Cost1 0.4 
659 0 4.07E+04 Cost1 0.4 
964 0 4.07E+04 Cost1 0.4 
779 0 4.07E+04 Cost1 0.4 
188 0 4.07E+04 Cost1 0.4 
864 0 6.76E+04 Cost1 0.4 
846 0 6.76E+04 Cost1 0.4 
331 0 6.76E+04 Cost1 0.4 
483 0 6.76E+04 Cost1 0.4 
008 0 6.76E+04 Cost1 0.4 
575 0 6.76E+04 Cost1 0.4 
589 1 8.27E+06 Cost1 0.4 
204 1 5.02E+07 Cost1 0.4 
354 1 1.20E+08 Cost1 0.4 
279 0 0.00E+00 Cost2 0.4 
452 0 0.00E+00 Cost2 0.4
809 0 1.95E+00 Cost2 0.4
657 0 2.11E+00 Cost2 0.4
161 0 2.90E+00 Cost2 0.4
485 0 2.90E+00 Cost2 0.4
328 0 6.19E+00 Cost2 0.4
463 0 6.19E+00 Cost2 0.4
181 0 6.19E+00 Cost2 0.4
581 0 6.19E+00 Cost2 0.4
878 0 6.19E+00 Cost2 0.4
659 0 6.19E+00 Cost2 0.4
964 0 6.19E+00 Cost2 0.4
779 0 6.19E+00 Cost2 0.4
188 0 6.19E+00 Cost2 0.4
864 0 1.01E+01 Cost2 0.4
846 0 1.01E+01 Cost2 0.4
331 0 1.01E+01 Cost2 0.4
483 0 1.01E+01 Cost2 0.4
008 0 1.01E+01 Cost2 0.4
575 0 1.01E+01 Cost2 0.4
589 1 3.10E+02 Cost2 0.4
204 1 1.36E+03 Cost2 0.4
354 1 3.02E+03 Cost2 0.4
841 0 7.63E+03 Cost1 1 
262 0 0.00E+00 Cost1 1
294 0 1.80E+03 Cost1 1
581 0 1.80E+03 Cost1 1
779 0 1.80E+03 Cost1 1
485 0 0.00E+00 Cost1 1
452 0 0.00E+00 Cost1 1
483 0 7.63E+03 Cost1 1
161 0 0.00E+00 Cost1 1
328 0 1.80E+03 Cost1 1
480 0 1.80E+03 Cost1 1
967 0 0.00E+00 Cost1 1
964 0 1.80E+03 Cost1 1
809 0 0.00E+00 Cost1 1
992 0 0.00E+00 Cost1 1
384 0 0.00E+00 Cost1 1
800 0 0.00E+00 Cost1 1
864 0 7.63E+03 Cost1 1
575 0 7.63E+03 Cost1 1
891 0 7.63E+03 Cost1 1
008 0 7.63E+03 Cost1 1
736 0 0.00E+00 Cost1 1
446 0 0.00E+00 Cost1 1
157 0 1.80E+03 Cost1 1
047 0 7.63E+03 Cost1 1
188 0 1.80E+03 Cost1 1
154 0 7.63E+03 Cost1 1
075 0 1.80E+03 Cost1 1
608 0 1.80E+03 Cost1 1
792 0 0.00E+00 Cost1 1
989 0 7.63E+03 Cost1 1
181 0 1.80E+03 Cost1 1
315 0 1.80E+03 Cost1 1
922 0 1.80E+03 Cost1 1
539 0 0.00E+00 Cost1 1
980 0 0.00E+00 Cost1 1
217 0 7.63E+03 Cost1 1
856 0 0.00E+00 Cost1 1
279 0 0.00E+00 Cost1 1
247 0 7.63E+03 Cost1 1
590 0 0.00E+00 Cost1 1
404 0 0.00E+00 Cost1 1
069 0 0.00E+00 Cost1 1
463 0 1.80E+03 Cost1 1
175 0 0.00E+00 Cost1 1
916 0 1.80E+03 Cost1 1
141 0 7.63E+03 Cost1 1
659 0 1.80E+03 Cost1 1
306 0 1.80E+03 Cost1 1
657 0 0.00E+00 Cost1 1
651 0 1.80E+03 Cost1 1
331 0 7.63E+03 Cost1 1
878 0 1.80E+03 Cost1 1
846 0 7.63E+03 Cost1 1
354 1 2.00E+07 Cost1 1
589 1 1.37E+06 Cost1 1
204 1 8.36E+06 Cost1 1
841 0 1.29E+00 Cost2 1 
262 0 0.00E+00 Cost2 1
294 0 4.21E-01 Cost2 1
581 0 4.21E-01 Cost2 1
779 0 4.21E-01 Cost2 1
485 0 0.00E+00 Cost2 1
452 0 0.00E+00 Cost2 1
483 0 1.29E+00 Cost2 1
161 0 0.00E+00 Cost2 1
328 0 4.21E-01 Cost2 1
480 0 4.21E-01 Cost2 1
967 0 0.00E+00 Cost2 1
964 0 4.21E-01 Cost2 1
809 0 0.00E+00 Cost2 1
992 0 0.00E+00 Cost2 1
384 0 0.00E+00 Cost2 1
800 0 0.00E+00 Cost2 1
864 0 1.29E+00 Cost2 1
575 0 1.29E+00 Cost2 1
891 0 1.29E+00 Cost2 1
008 0 1.29E+00 Cost2 1
736 0 0.00E+00 Cost2 1
446 0 0.00E+00 Cost2 1
157 0 4.21E-01 Cost2 1
047 0 1.29E+00 Cost2 1
188 0 4.21E-01 Cost2 1
154 0 1.29E+00 Cost2 1
075 0 4.21E-01 Cost2 1
608 0 4.21E-01 Cost2 1
792 0 0.00E+00 Cost2 1
989 0 1.29E+00 Cost2 1
181 0 4.21E-01 Cost2 1
315 0 4.21E-01 Cost2 1
922 0 4.21E-01 Cost2 1
539 0 0.00E+00 Cost2 1
980 0 0.00E+00 Cost2 1
217 0 1.29E+00 Cost2 1
856 0 0.00E+00 Cost2 1
279 0 0.00E+00 Cost2 1
247 0 1.29E+00 Cost2 1
590 0 0.00E+00 Cost2 1
404 0 0.00E+00 Cost2 1
069 0 0.00E+00 Cost2 1
463 0 4.21E-01 Cost2 1
175 0 0.00E+00 Cost2 1
916 0 4.21E-01 Cost2 1
141 0 1.29E+00 Cost2 1
659 0 4.21E-01 Cost2 1
306 0 4.21E-01 Cost2 1
657 0 0.00E+00 Cost2 1
651 0 4.21E-01 Cost2 1
