perc,TupleID,FalsePositive,modifiedtupleamt,cost,label
1.0,877.0,0.0,1.0,0.0,cost1
1.0,877.0,0.0,1.0,0.0140845068,cost2
1.0,877.0,0.0,1.0,30.7808571,cost3
1.0,874.0,0.0,20.0,0.0,cost1
1.0,874.0,0.0,20.0,0.528779566,cost2
1.0,874.0,0.0,20.0,1394.93628,cost3
1.0,382.0,0.0,3.0,0.0,cost1
1.0,382.0,0.0,3.0,0.0441750064,cost2
1.0,382.0,0.0,3.0,104.00042,cost3
1.0,713.0,0.0,14.0,0.0,cost1
1.0,713.0,0.0,14.0,0.258284837,cost2
1.0,713.0,0.0,14.0,650.508545,cost3
1.0,221.0,0.0,0.0,0.0,cost1
1.0,221.0,0.0,0.0,0.0,cost2
1.0,221.0,0.0,0.0,0.0,cost3
1.0,870.0,0.0,0.0,0.0,cost1
1.0,870.0,0.0,0.0,0.0,cost2
1.0,870.0,0.0,0.0,0.0,cost3
1.0,678.0,0.0,22.0,0.0,cost1
1.0,678.0,0.0,22.0,0.771636724,cost2
1.0,678.0,0.0,22.0,5328.08691,cost3
1.0,186.0,0.0,11.0,0.0,cost1
1.0,186.0,0.0,11.0,0.18113251,cost2
1.0,186.0,0.0,11.0,381.736481,cost3
1.0,183.0,0.0,0.0,0.0,cost1
1.0,183.0,0.0,0.0,0.0,cost2
1.0,183.0,0.0,0.0,0.0,cost3
1.0,515.0,0.0,11.0,0.0,cost1
1.0,515.0,0.0,11.0,0.18113251,cost2
1.0,515.0,0.0,11.0,381.736481,cost3
1.0,513.0,0.0,21.0,0.0,cost1
1.0,513.0,0.0,21.0,0.628779531,cost2
1.0,513.0,0.0,21.0,1568.13818,cost3
1.0,578.0,0.0,2.0,0.0,cost1
1.0,578.0,0.0,2.0,0.0287903901,cost2
1.0,578.0,0.0,2.0,53.9773674,cost3
1.0,572.0,0.0,15.0,0.0,cost1
1.0,572.0,0.0,15.0,0.293999135,cost2
1.0,572.0,0.0,15.0,799.470154,cost3
1.0,969.0,0.0,22.0,0.0,cost1
1.0,969.0,0.0,22.0,0.771636724,cost2
1.0,969.0,0.0,22.0,5328.08691,cost3
1.0,476.0,0.0,14.0,0.0,cost1
1.0,476.0,0.0,14.0,0.258284837,cost2
1.0,476.0,0.0,14.0,650.508545,cost3
1.0,315.0,0.0,11.0,0.0,cost1
1.0,315.0,0.0,11.0,0.18113251,cost2
1.0,315.0,0.0,11.0,381.736481,cost3
1.0,474.0,0.0,0.0,0.0,cost1
1.0,474.0,0.0,0.0,0.0,cost2
1.0,474.0,0.0,0.0,0.0,cost3
1.0,963.0,0.0,11.0,0.0,cost1
1.0,963.0,0.0,11.0,0.18113251,cost2
1.0,963.0,0.0,11.0,381.736481,cost3
1.0,868.0,0.0,0.0,0.0,cost1
1.0,868.0,0.0,0.0,0.0,cost2
1.0,868.0,0.0,0.0,0.0,cost3
1.0,215.0,0.0,14.0,0.0,cost1
1.0,215.0,0.0,14.0,0.258284837,cost2
1.0,215.0,0.0,14.0,650.508545,cost3
1.0,865.0,0.0,12.0,0.0,cost1
1.0,865.0,0.0,12.0,0.204942033,cost2
1.0,865.0,0.0,12.0,429.628265,cost3
1.0,371.0,0.0,11.0,0.0,cost1
1.0,371.0,0.0,11.0,0.18113251,cost2
1.0,371.0,0.0,11.0,381.736481,cost3
1.0,276.0,0.0,20.0,0.0,cost1
1.0,276.0,0.0,20.0,0.528779566,cost2
1.0,276.0,0.0,20.0,1394.93628,cost3
1.0,210.0,0.0,4.0,0.0,cost1
1.0,210.0,0.0,4.0,0.0600480214,cost2
1.0,210.0,0.0,4.0,124.064423,cost3
1.0,700.0,0.0,11.0,0.0,cost1
1.0,700.0,0.0,11.0,0.18113251,cost2
1.0,700.0,0.0,11.0,381.736481,cost3
1.0,765.0,0.0,18.0,0.0,cost1
1.0,765.0,0.0,18.0,0.414400488,cost2
1.0,765.0,0.0,18.0,989.77832,cost3
1.0,113.0,0.0,18.0,0.0,cost1
1.0,113.0,0.0,18.0,0.414400488,cost2
1.0,113.0,0.0,18.0,989.77832,cost3
1.0,604.0,0.0,20.0,0.0,cost1
1.0,604.0,0.0,20.0,0.528779566,cost2
1.0,604.0,0.0,20.0,1394.93628,cost3
1.0,668.0,0.0,0.0,0.0,cost1
1.0,668.0,0.0,0.0,0.0,cost2
1.0,668.0,0.0,0.0,0.0,cost3
1.0,49.0,0.0,17.0,0.0,cost1
1.0,49.0,0.0,17.0,0.370922208,cost2
1.0,49.0,0.0,17.0,915.662354,cost3
1.0,505.0,0.0,14.0,0.0,cost1
1.0,505.0,0.0,14.0,0.258284837,cost2
1.0,505.0,0.0,14.0,650.508545,cost3
1.0,568.0,0.0,11.0,0.0,cost1
1.0,568.0,0.0,11.0,0.18113251,cost2
1.0,568.0,0.0,11.0,381.736481,cost3
1.0,45.0,0.0,21.0,0.0,cost1
1.0,45.0,0.0,21.0,0.628779531,cost2
1.0,45.0,0.0,21.0,1568.13818,cost3
1.0,660.0,0.0,2.0,0.0,cost1
1.0,660.0,0.0,2.0,0.0287903901,cost2
1.0,660.0,0.0,2.0,53.9773674,cost3
1.0,469.0,0.0,6.0,0.0,cost1
1.0,469.0,0.0,6.0,0.0933813527,cost2
1.0,469.0,0.0,6.0,197.945374,cost3
1.0,307.0,0.0,17.0,0.0,cost1
1.0,307.0,0.0,17.0,0.370922208,cost2
1.0,307.0,0.0,17.0,915.662354,cost3
1.0,859.0,0.0,18.0,0.0,cost1
1.0,859.0,0.0,18.0,0.414400488,cost2
1.0,859.0,0.0,18.0,989.77832,cost3
