TupleID FalsePositive Cost1 Cost2 Cost3 ModifiedTupleAmt
1.0 877 0 0.0140845068 30.7808571 0.000234876628 1
1.0 874 0 0.528779566 1394.93628 0.0107442988 20
1.0 382 0 0.0441750064 104.00042 0.000796705601 3
1.0 713 0 0.258284837 650.508545 0.00499975961 14
1.0 221 0 0 0 0 0
1.0 870 0 0 0 0 0
1.0 678 0 0.771636724 5328.08691 0.0421795771 22
1.0 186 0 0.18113251 381.736481 0.0029069765 11
1.0 183 0 0 0 0 0
1.0 515 0 0.18113251 381.736481 0.0029069765 11
1.0 513 0 0.628779531 1568.13818 0.0120469714 21
1.0 578 0 0.0287903901 53.9773674 0.000408140215 2
1.0 572 0 0.293999135 799.470154 0.00616608327 15
1.0 969 0 0.771636724 5328.08691 0.0421795771 22
1.0 476 0 0.258284837 650.508545 0.00499975961 14
1.0 315 0 0.18113251 381.736481 0.0029069765 11
1.0 474 0 0 0 0 0
1.0 963 0 0.18113251 381.736481 0.0029069765 11
1.0 868 0 0 0 0 0
1.0 215 0 0.258284837 650.508545 0.00499975961 14
1.0 865 0 0.204942033 429.628265 0.00327068777 12
1.0 371 0 0.18113251 381.736481 0.0029069765 11
1.0 276 0 0.528779566 1394.93628 0.0107442988 20
1.0 210 0 0.0600480214 124.064423 0.000943689432 4
1.0 700 0 0.18113251 381.736481 0.0029069765 11
1.0 765 0 0.414400488 989.77832 0.00758779421 18
1.0 113 0 0.414400488 989.77832 0.00758779421 18
1.0 604 0 0.528779566 1394.93628 0.0107442988 20
1.0 668 0 0 0 0 0
1.0 49 0 0.370922208 915.662354 0.00703098672 17
1.0 505 0 0.258284837 650.508545 0.00499975961 14
1.0 568 0 0.18113251 381.736481 0.0029069765 11
1.0 45 0 0.628779531 1568.13818 0.0120469714 21
1.0 660 0 0.0287903901 53.9773674 0.000408140215 2
1.0 469 0 0.0933813527 197.945374 0.00150787795 6
1.0 307 0 0.370922208 915.662354 0.00703098672 17
1.0 859 0 0.414400488 989.77832 0.00758779421 18
1.0 202 0 0.414400488 989.77832 0.00758779421 18
1.0 262 0 0.204942033 429.628265 0.00327068777 12
1.0 260 0 0 0 0 0
1.0 750 0 0.18113251 381.736481 0.0029069765 11
1.0 39 0 13.25 137522.656 1.09478557 53
1.0 164 0 0.258284837 650.508545 0.00499975961 14
1.0 162 0 13.25 137522.656 1.09478557 53
1.0 651 0 0.258284837 650.508545 0.00499975961 14
1.0 160 0 0.0140845068 30.7808571 0.000234876628 1
1.0 556 0 0.370922208 915.662354 0.00703098672 17
1.0 946 0 0.18113251 381.736481 0.0029069765 11
1.0 258 0 0 0 0 0
1.0 843 0 0.528779566 1394.93628 0.0107442988 20
1.0 740 0 0.18113251 381.736481 0.0029069765 11
1.0 153 0 0.0600480214 124.064423 0.000943689432 4
1.0 25 0 0.258284837 650.508545 0.00499975961 14
1.0 640 0 0.0441750064 104.00042 0.000796705601 3
1.0 87 0 0.18113251 381.736481 0.0029069765 11
1.0 939 0 0.258284837 650.508545 0.00499975961 14
1.0 937 0 0 0 0 0
1.0 998 0 0.528779566 1394.93628 0.0107442988 20
1.0 347 0 0.258284837 650.508545 0.00499975961 14
1.0 992 0 0.0600480214 124.064423 0.000943689432 4
1.0 245 0 0.231257826 600.976379 0.00462578656 13
1.0 1 0 0.145418227 306.306885 0.00233249948 9
1.0 730 0 0.0140845068 30.7808571 0.000234876628 1
1.0 697 0 0.771636724 5328.08691 0.0421795771 22
1.0 77 0 0.204942033 429.628265 0.00327068777 12
1.0 10 0 0.110330507 246.259003 0.00188125449 7
1.0 435 0 0.110330507 246.259003 0.00188125449 7
1.0 922 0 0.528779566 1394.93628 0.0107442988 20
1.0 826 0 0.18113251 381.736481 0.0029069765 11
1.0 332 0 0.528779566 1394.93628 0.0107442988 20
1.0 397 0 0.18113251 381.736481 0.0029069765 11
1.0 884 0 0.771636724 5328.08691 0.0421795771 22
1.0 295 0 0.293999135 799.470154 0.00616608327 15
1.0 784 0 0.204942033 429.628265 0.00327068777 12
1.0 292 0 0.414400488 989.77832 0.00758779421 18
1.0 133 0 0 0 0 0
1.0 69 0 13.25 137522.656 1.09478557 53
1.0 428 0 0.0287903901 53.9773674 0.000408140215 2
1.0 65 0 0.628779531 1568.13818 0.0120469714 21
1.0 585 0 13.25 137522.656 1.09478557 53
1.0 818 0 0.18113251 381.736481 0.0029069765 11
1.0 911 0 0.46995604 1368.01416 0.0105813714 19
1.0 467 1 140.604965 3668479 29.3984394 325
1.0 848 1 97.6049728 1949121.88 15.5989332 282
1.0 522 1 133.104965 3987869.75 31.9760132 287
0.8 843 0 2.13091946  6326.2998 0.0489716418  53
0.8 202 0 1.70216131  4663.06445  0.0359764323  48
0.8 874 0 2.13091946  6326.2998 0.0489716418  53
0.8 585 0 39.9318199  413315.219  3.290205  108
0.8 295 0 1.19618595  3040.20532  0.0233767778  40
0.8 262 0 0.867607117 1716.34509  0.0130215762  33
0.8 428 0 0.128394172 213.743118  0.00160302978 6
0.8 260 0 0.181818187 747.242249  0.00584824244 2
0.8 713 0 1.03780079  2420.70044  0.0185352545  37
0.8 25  0 1.03780079  2420.70044  0.0185352545  37
0.8 133 0 0.181818187 747.242249  0.00584824244 2
0.8 939 0 1.03780079  2420.70044  0.0185352545  37
0.8 164 0 1.03780079  2420.70044  0.0185352545  37
0.8 740 0 0.76443249  1521.45374  0.0115472302  30
0.8 969 0 3.30115747  22113.0605  0.174966946 59
0.8 162 0 39.9318199  413315.219  3.290205  108
0.8 998 0 2.13091946  6326.2998 0.0489716418  53
0.8 678 0 3.05115747  18864.2949  0.149046689 58
0.8 963 0 0.714401245 1440.03833  0.01093766  28
0.8 992 0 0.230140209 441.726685  0.00334503455 10
0.8 640 0 0.178394169 376.318024  0.00286586746 8
0.8 382 0 0.178394169 376.318024  0.00286586746 8
0.8 868 0 0.181818187 747.242249  0.00584824244 2
0.8 515 0 0.691673994 1423.51782  0.0108254626  27
0.8 578 0 0.128394172 213.743118  0.00160302978 6
0.8 258 0 0.181818187 747.242249  0.00584824244 2
0.8 513 0 2.59877658  6957.78906  0.053626772 56
0.8 865 0 0.867607117 1716.34509  0.0130215762  33
0.8 221 0 0.181818187 747.242249  0.00584824244 2
0.8 572 0 1.19618595  3040.20532  0.0233767778  40
0.8 49  0 1.44527018  3416.44678  0.0261774175  44
0.8 765 0 1.70216131  4663.06445  0.0359764323  48
0.8 77  0 0.867607117 1716.34509  0.0130215762  33
0.8 186 0 0.738791466 1471.49646  0.0111685693  29
0.8 730 0 0.0808005929  138.670776  0.00104228582 4
0.8 474 0 0.181818187 747.242249  0.00584824244 2
0.8 153 0 0.230140209 441.726685  0.00334503455 10
0.8 10  0 0.416736633 875.864258  0.00666878466 17
0.8 183 0 0.181818187 747.242249  0.00584824244 2
0.8 604 0 2.13091946  6326.2998 0.0489716418  53
0.8 347 0 1.03780079  2420.70044  0.0185352545  37
0.8 922 0 2.13091946  6326.2998 0.0489716418  53
0.8 660 0 0.128394172 213.743118  0.00160302978 6
0.8 826 0 0.714401245 1440.03833  0.01093766  28
0.8 371 0 0.76443249  1521.45374  0.0115472302  30
0.8 505 0 1.03780079  2420.70044  0.0185352545  37
0.8 568 0 0.738791466 1471.49646  0.0111685693  29
0.8 215 0 1.03780079  2420.70044  0.0185352545  37
0.8 245 0 0.951488674 2262.51733  0.0173409544  35
0.8 276 0 2.13091946  6326.2998 0.0489716418  53
0.8 884 0 3.05115747  18864.2949  0.149046689 58
0.8 210 0 0.230140209 441.726685  0.00334503455 10
0.8 469 0 0.339360058 683.804688  0.00519365259 14
0.8 39  0 39.9318199  413315.219  3.290205  108
0.8 69  0 39.9318199  413315.219  3.290205  108
0.8 113 0 1.64333785  3737.05493  0.0285769068  47
0.8 784 0 0.867607117 1716.34509  0.0130215762  33
0.8 65  0 2.4559195 6889.20557  0.0532053225  55
0.8 750 0 0.76443249  1521.45374  0.0115472302  30
0.8 307 0 1.44527018  3416.44678  0.0261774175  44
0.8 397 0 0.714401245 1440.03833  0.01093766  28
0.8 332 0 2.13091946  6326.2998 0.0489716418  53
0.8 651 0 1.03780079  2420.70044  0.0185352545  37
0.8 877 0 0.0808005929  138.670776  0.00104228582 4
0.8 556 0 1.44527018  3416.44678  0.0261774175  44
0.8 522 1 400.301147  11969738  95.9764709  589
0.8 467 1 422.801147  11011566  88.2437439  665
0.8 848 1 293.801147  5853494.5 46.8452301  579
0.4 260 0 0.988636374 7749.07373  0.0614673421  7
0.4 153 0 0.772687376 1849.99573  0.0141840624  19
0.4 183 0 0.988636374 7749.07373  0.0614673421  7
0.4 604 0 7.97600269  32257.3477  0.252343774 112
0.4 39  0 93.7386398  1725210.88  13.8002462  166
0.4 69  0 93.7386398  1725210.88  13.8002462  166
0.4 215 0 3.8126297 11188.877 0.0865726098  74
0.4 660 0 0.379109085 646.280945  0.00485529983 10
0.4 245 0 3.52417541  10632.6953  0.0823596418  70
0.4 65  0 9.06171703  38402.0078  0.300808728 118
0.4 474 0 0.988636374 7749.07373  0.0614673421  7
0.4 133 0 0.988636374 7749.07373  0.0614673421  7
0.4 164 0 4.07137108  12275.0596  0.0950786173  77
0.4 678 0 10.6093359  63398.3945  0.500585794 124
0.4 258 0 0.988636374 7749.07373  0.0614673421  7
0.4 568 0 2.49473953  5589.34131  0.0427074619  54
0.4 877 0 0.258627802 456.238281  0.00343579846 7
0.4 505 0 3.88955283  11355.2598  0.0878414884  75
0.4 640 0 0.594159245 1545.84106  0.0118991481  15
0.4 874 0 8.22600269  36935.543 0.289769262 114
0.4 221 0 0.988636374 7749.07373  0.0614673421  7
0.4 969 0 11.3593359  73144.6953  0.57834661  126
0.4 113 0 6.22632933  21905.2598  0.170620814 98
0.4 730 0 0.258627802 456.238281  0.00343579846 7
0.4 963 0 2.32831216  5328.22119  0.0407578647  51
0.4 826 0 2.27275658  5284.66309  0.0404580496  50
0.4 578 0 0.379109085 646.280945  0.00485529983 10
0.4 515 0 2.17467046  5180.38818  0.0397084095  48
0.4 992 0 0.772687376 1849.99573  0.0141840624  19
0.4 25  0 3.88955283  11355.2598  0.0878414884  75
0.4 371 0 2.7335217 6482.83691  0.0496808067  58
0.4 884 0 10.6093359  63398.3945  0.500585794 124
0.4 522 1 805.359314  23968394  192.181351  921
0.4 848 1 592.359314  11735908  93.918869 906
0.4 467 1 850.359314  22052050  176.715897  1035
0.2 153 0 2.37017965  11889.5742  0.093530789 33
0.2 39  0 175.645462  4088130.25  32.7441101  227
0.2 69  0 175.645462  4088130.25  32.7441101  227
0.2 215 0 10.4949293  53748.4766  0.423019856 119
0.2 245 0 9.78211021  49873.1602  0.392479628 113
0.2 474 0 3.39545465  35926.207 0.286060393 15
0.2 133 0 3.39545465  35926.207 0.286060393 15
0.2 164 0 11.5481262  60427.9766  0.475819379 126
0.2 678 0 28.3940315  222512.781  1.76501477  202
0.2 568 0 6.83593607  30799.0039  0.24164784  86
0.2 505 0 10.8987751  56822.6289  0.447394073 122
0.2 874 0 22.7976036  157786.688  1.24916077  185
0.2 221 0 3.39545465  35926.207 0.286060393 15
0.2 113 0 17.0858383  97888.0156  0.772267282 158
0.2 730 0 0.72216928  2883.35156  0.0225475375  11
0.2 826 0 6.05272341  28051.0059  0.220245525 78
0.2 522 1 1353.64404  40077220  321.337341  1266
0.2 848 1 998.644043  19689740  157.566544  1246
0.2 467 1 1428.64404  36883312  295.561615  1418
