id,complaintperc,solver,cardinality,logsize,dbsize,badcomplaints,remaincomplaints,fixedrate,noiserate,badqueryindex,fixedqueryindex,origclausesize,fixedclausesize,preptime,solvetime,finishtime,totaltime
0,1,cplex,1,5,100,11,0,1,0,2,2,1,1,21898000,2754000,84000,24736000
1,1,cplex,1,5,100,1,0,1,0,1,1,1,1,5270000,916000,35000,6221000
2,1,cplex,1,5,100,20,0,1,0,2,2,1,1,4362000,761000,27000,5150000
3,1,cplex,1,5,100,25,0,1,0,1,1,1,1,3810000,835000,32000,4677000
4,1,cplex,1,5,100,3,0,1,0,1,1,1,1,3213000,911000,29000,4153000
5,1,cplex,1,5,100,73,0,1,0,2,2,1,1,3943000,842000,48000,4833000
6,1,cplex,1,5,100,83,0,1,0,1,1,1,1,2689000,1151000,22000,3862000
7,1,cplex,1,5,100,4,0,1,0,2,2,1,1,1587000,991000,22000,2600000
8,1,cplex,1,5,100,3,0,1,0,2,2,1,1,1287000,859000,39000,2185000
9,1,cplex,1,5,100,14,0,1,0,1,1,1,1,1462000,844000,19000,2325000
10,1,cplex,1,5,100,10,0,1,0,1,1,1,1,1571000,897000,36000,2504000
11,1,cplex,1,5,100,78,0,1,0,1,1,1,1,1214000,854000,22000,2090000
12,1,cplex,1,5,100,30,0,1,0,1,1,1,1,1435000,889000,29000,2353000
13,1,cplex,1,5,100,56,0,1,0,1,1,1,1,1361000,951000,30000,2342000
14,1,cplex,1,5,100,4,0,1,0,2,2,1,1,1268000,737000,18000,2023000
15,1,cplex,1,5,100,5,0,1,0,1,1,1,1,1181000,829000,24000,2034000
16,1,cplex,1,5,100,42,0,1,0,1,1,1,1,1369000,1053000,32000,2454000
17,1,cplex,1,5,100,4,0,1,0,1,1,1,1,1331000,3490000,37000,4858000
18,1,cplex,1,5,100,33,0,1,0,2,2,1,1,1603000,777000,29000,2409000
19,1,cplex,1,5,100,14,0,1,0,2,2,1,1,1238000,748000,29000,2015000
20,1,cplex,1,5,500,226,0,1,0,2,2,1,1,5481000,1796000,26000,7303000
21,1,cplex,1,5,500,352,0,1,0,2,2,1,1,5787000,1725000,25000,7537000
22,1,cplex,1,5,500,94,0,1,0,1,1,1,1,6088000,1617000,23000,7728000
23,1,cplex,1,5,500,2,0,1,0,2,2,1,1,4609000,1493000,30000,6132000
24,1,cplex,1,5,500,4,0,1,0,1,1,1,1,5156000,1625000,30000,6811000
25,1,cplex,1,5,500,6,0,1,0,2,2,1,1,6233000,1801000,22000,8056000
26,1,cplex,1,5,500,4,0,1,0,2,2,1,1,4807000,1726000,19000,6552000
27,1,cplex,1,5,500,266,0,1,0,2,2,1,1,4639000,1649000,28000,6316000
28,1,cplex,1,5,500,133,0,1,0,2,2,1,1,5240000,1771000,29000,7040000
29,1,cplex,1,5,500,235,0,1,0,2,2,1,1,4318000,1575000,20000,5913000
30,1,cplex,1,5,500,347,0,1,0,1,1,1,1,4326000,1762000,23000,6111000
31,1,cplex,1,5,500,242,0,1,0,1,1,1,1,4478000,1595000,25000,6098000
32,1,cplex,1,5,500,386,0,1,0,2,2,1,1,4335000,1681000,23000,6039000
33,1,cplex,1,5,500,105,0,1,0,1,1,1,1,5509000,1829000,20000,7358000
34,1,cplex,1,5,500,5,0,1,0,1,1,1,1,4356000,1659000,29000,6044000
35,1,cplex,1,5,500,342,0,1,0,2,2,1,1,4117000,1725000,19000,5861000
36,1,cplex,1,5,500,396,0,1,0,2,2,1,1,4199000,1631000,19000,5849000
37,1,cplex,1,5,500,201,0,1,0,2,2,1,1,4062000,1597000,29000,5688000
38,1,cplex,1,5,500,1,0,1,0,2,2,1,1,30607000,1585000,27000,32219000
39,1,cplex,1,5,500,7,0,1,0,2,2,1,1,4135000,1565000,29000,5729000
40,1,cplex,1,5,1000,3,0,1,0,2,2,1,1,7937000,2854000,26000,10817000
41,1,cplex,1,5,1000,310,0,1,0,2,2,1,1,7978000,2662000,23000,10663000
42,1,cplex,1,5,1000,227,0,1,0,2,2,1,1,8038000,2823000,32000,10893000
43,1,cplex,1,5,1000,43,0,1,0,1,1,1,1,8614000,3024000,42000,11680000
44,1,cplex,1,5,1000,3,0,1,0,1,1,1,1,9123000,2650000,22000,11795000
45,1,cplex,1,5,1000,648,0,1,0,1,1,1,1,8001000,3034000,21000,11056000
46,1,cplex,1,5,1000,790,0,1,0,2,2,1,1,7841000,2638000,44000,10523000
47,1,cplex,1,5,1000,165,0,1,0,2,2,1,1,10486000,3136000,46000,13668000
48,1,cplex,1,5,1000,162,0,1,0,1,1,1,1,8189000,3070000,25000,11284000
49,1,cplex,1,5,1000,513,0,1,0,1,1,1,1,7690000,2576000,44000,10310000
50,1,cplex,1,5,1000,225,0,1,0,1,1,1,1,8616000,2950000,21000,11587000
