id,solver,cardinality,logsize,dbsize,badcomplaints,remaincomplaints,fixedrate,noiserate,preptime,solvetime,finishtime,totaltime
0,cplex,1,5,100,4,0,1,0,23952000,3090000,89000,27131000
1,cplex,1,5,100,21,0,1,0,5813000,936000,39000,6788000
2,cplex,1,5,100,3,0,1,0,4559000,835000,33000,5427000
3,cplex,1,5,100,1,0,1,0,3611000,845000,43000,4499000
4,cplex,1,5,100,25,0,1,0,2860000,2222000,30000,5112000
5,cplex,1,5,100,68,0,1,0,6578000,973000,53000,7604000
6,cplex,1,5,100,3,0,1,0,2390000,1003000,25000,3418000
7,cplex,1,5,100,26,0,1,0,1605000,986000,22000,2613000
8,cplex,1,5,100,40,0,1,0,1301000,840000,17000,2158000
9,cplex,1,5,100,42,0,1,0,1400000,777000,40000,2217000
10,cplex,1,5,100,1,0,1,0,1181000,891000,26000,2098000
11,cplex,1,5,100,97,0,1,0,1619000,863000,27000,2509000
12,cplex,1,5,100,3,0,1,0,1421000,798000,22000,2241000
13,cplex,1,5,100,12,0,1,0,1232000,887000,40000,2159000
14,cplex,1,5,100,9,0,1,0,1147000,853000,28000,2028000
15,cplex,1,5,100,48,0,1,0,1566000,928000,22000,2516000
16,cplex,1,5,100,93,0,1,0,1182000,806000,36000,2024000
17,cplex,1,5,100,18,0,1,0,1186000,932000,39000,2157000
18,cplex,1,5,100,5,0,1,0,1317000,908000,21000,2246000
19,cplex,1,5,100,4,0,1,0,1672000,854000,28000,2554000
20,cplex,1,5,100,7,0,1,0,1179000,845000,25000,2049000
21,cplex,1,5,100,5,0,1,0,1499000,895000,21000,2415000
22,cplex,1,5,100,2,0,1,0,1235000,769000,26000,2030000
23,cplex,1,5,100,91,0,1,0,1166000,674000,27000,1867000
24,cplex,1,5,100,7,0,1,0,1362000,745000,31000,2138000
25,cplex,1,5,100,57,0,1,0,1159000,714000,18000,1891000
26,cplex,1,5,100,41,0,1,0,1129000,696000,25000,1850000
27,cplex,1,5,100,40,0,1,0,1100000,704000,27000,1831000
28,cplex,1,5,100,89,0,1,0,1340000,669000,27000,2036000
29,cplex,1,5,100,1,0,1,0,1207000,805000,26000,2038000
30,cplex,1,5,500,3,0,1,0,6455000,1542000,29000,8026000
31,cplex,1,5,500,3,0,1,0,5124000,1628000,20000,6772000
32,cplex,1,5,500,32,0,1,0,5827000,2873000,38000,8738000
33,cplex,1,5,500,68,0,1,0,5383000,1779000,39000,7201000
34,cplex,1,5,500,1,0,1,0,5011000,1678000,22000,6711000
35,cplex,1,5,500,345,0,1,0,4524000,1592000,27000,6143000
36,cplex,1,5,500,425,0,1,0,4397000,1666000,17000,6080000
37,cplex,1,5,500,31,0,1,0,4926000,1534000,20000,6480000
38,cplex,1,5,500,238,0,1,0,4269000,1581000,17000,5867000
39,cplex,1,5,500,323,0,1,0,5589000,1616000,24000,7229000
40,cplex,1,5,500,76,0,1,0,4461000,1527000,18000,6006000
41,cplex,1,5,500,298,0,1,0,4371000,1702000,23000,6096000
42,cplex,1,5,500,485,0,1,0,4088000,1769000,17000,5874000
43,cplex,1,5,500,252,0,1,0,4108000,1696000,17000,5821000
44,cplex,1,5,500,288,0,1,0,4187000,1631000,18000,5836000
45,cplex,1,5,500,54,0,1,0,4913000,1662000,33000,6608000
46,cplex,1,5,500,152,0,1,0,4263000,1542000,27000,5832000
47,cplex,1,5,500,1,0,1,0,4324000,1657000,18000,5999000
48,cplex,1,5,500,170,0,1,0,4195000,1576000,18000,5789000
49,cplex,1,5,500,3,0,1,0,4210000,1622000,19000,5851000
50,cplex,1,5,500,68,0,1,0,4877000,1500000,31000,6408000
51,cplex,1,5,500,171,0,1,0,4426000,1496000,19000,5941000
52,cplex,1,5,500,94,0,1,0,4037000,1678000,17000,5732000
53,cplex,1,5,500,43,0,1,0,4528000,1585000,28000,6141000
54,cplex,1,5,500,37,0,1,0,4123000,1550000,19000,5692000
55,cplex,1,5,500,110,0,1,0,4005000,1543000,28000,5576000
56,cplex,1,5,500,2,0,1,0,4092000,1662000,39000,5793000
57,cplex,1,5,500,324,0,1,0,4008000,1600000,17000,5625000
58,cplex,1,5,500,157,0,1,0,4028000,1735000,20000,5783000
59,cplex,1,5,500,171,0,1,0,3963000,1713000,15000,5691000
60,cplex,1,5,1000,652,0,1,0,8128000,2582000,19000,10729000
61,cplex,1,5,1000,659,0,1,0,8024000,2608000,18000,10650000
62,cplex,1,5,1000,8,0,1,0,8168000,2846000,32000,11046000
63,cplex,1,5,1000,6,0,1,0,8204000,3647000,30000,11881000
64,cplex,1,5,1000,700,0,1,0,8709000,3766000,36000,12511000
65,cplex,1,5,1000,52,0,1,0,7728000,2781000,28000,10537000
66,cplex,1,5,1000,5,0,1,0,8238000,2811000,18000,11067000
67,cplex,1,5,1000,10,0,1,0,7746000,2728000,16000,10490000
68,cplex,1,5,1000,164,0,1,0,8316000,2761000,27000,11104000
69,cplex,1,5,1000,6,0,1,0,8038000,2569000,17000,10624000
70,cplex,1,5,1000,4,0,1,0,8494000,3370000,40000,11904000
71,cplex,1,5,1000,11,0,1,0,8106000,2892000,16000,11014000
72,cplex,1,5,1000,241,0,1,0,8244000,2811000,19000,11074000
73,cplex,1,5,1000,415,0,1,0,7820000,2875000,15000,10710000
74,cplex,1,5,1000,3,0,1,0,8555000,3553000,19000,12127000
75,cplex,1,5,1000,992,0,1,0,8006000,2910000,24000,10940000
76,cplex,1,5,1000,163,0,1,0,7840000,2764000,17000,10621000
77,cplex,1,5,1000,510,0,1,0,8925000,3389000,33000,12347000
78,cplex,1,5,1000,169,0,1,0,8116000,3284000,18000,11418000
79,cplex,1,5,1000,601,0,1,0,8052000,2754000,37000,10843000
80,cplex,1,5,1000,97,0,1,0,7974000,3015000,16000,11005000
81,cplex,1,5,1000,87,0,1,0,8591000,2646000,23000,11260000
82,cplex,1,5,1000,470,0,1,0,7932000,2654000,26000,10612000
83,cplex,1,5,1000,624,0,1,0,9032000,2635000,16000,11683000
84,cplex,1,5,1000,6,0,1,0,7940000,2799000,15000,10754000
85,cplex,1,5,1000,536,0,1,0,246660000,2912000,22000,249594000
86,cplex,1,5,1000,6,0,1,0,8423000,2902000,14000,11339000
87,cplex,1,5,1000,1,0,1,0,8345000,3194000,26000,11565000
88,cplex,1,5,1000,5,0,1,0,8380000,2742000,15000,11137000
89,cplex,1,5,1000,242,0,1,0,7869000,2759000,25000,10653000
90,cplex,1,5,5000,1822,0,1,0,40470000,12308000,18000,52796000
91,cplex,1,5,5000,2527,0,1,0,39404000,11586000,19000,51009000
92,cplex,1,5,5000,198,0,1,0,39470000,12270000,19000,51759000
93,cplex,1,5,5000,1006,0,1,0,396533000,11295000,19000,407847000
94,cplex,1,5,5000,1200,0,1,0,39098000,12384000,18000,51500000
95,cplex,1,5,5000,1211,0,1,0,42058000,13039000,19000,55116000
96,cplex,1,5,5000,839,0,1,0,45056000,14172000,20000,59248000
97,cplex,1,5,5000,2541,0,1,0,38013000,12506000,22000,50541000
98,cplex,1,5,5000,2634,0,1,0,37623000,11947000,18000,49588000
99,cplex,1,5,5000,1668,0,1,0,38639000,11711000,18000,50368000
100,cplex,1,5,5000,6,0,1,0,39543000,11929000,19000,51491000
101,cplex,1,5,5000,614,0,1,0,38811000,12119000,18000,50948000
102,cplex,1,5,5000,76,0,1,0,39179000,11373000,18000,50570000
103,cplex,1,5,5000,2371,0,1,0,37839000,12086000,18000,49943000
104,cplex,1,5,5000,793,0,1,0,37504000,11226000,38000,48768000
105,cplex,1,5,5000,1400,0,1,0,36345000,11823000,18000,48186000
106,cplex,1,5,5000,236,0,1,0,36862000,11919000,17000,48798000
107,cplex,1,5,5000,7,0,1,0,37056000,11885000,18000,48959000
108,cplex,1,5,5000,162,0,1,0,38320000,12283000,17000,50620000
109,cplex,1,5,5000,3170,0,1,0,38203000,12055000,38000,50296000
110,cplex,1,5,5000,294,0,1,0,36952000,11960000,18000,48930000
111,cplex,1,5,5000,2320,0,1,0,195550000,13696000,19000,209265000
112,cplex,1,5,5000,181,0,1,0,36883000,11944000,18000,48845000
113,cplex,1,5,5000,1642,0,1,0,37267000,11639000,18000,48924000
114,cplex,1,5,5000,2,0,1,0,38607000,12314000,18000,50939000
115,cplex,1,5,5000,850,0,1,0,37209000,11488000,19000,48716000
116,cplex,1,5,5000,2732,0,1,0,36395000,11789000,19000,48203000
117,cplex,1,5,5000,57,0,1,0,38180000,12443000,18000,50641000
118,cplex,1,5,5000,441,0,1,0,38494000,11890000,32000,50416000
119,cplex,1,5,5000,832,0,1,0,36983000,11500000,19000,48502000
120,cplex,1,5,10000,3,0,1,0,77142000,25404000,19000,102565000
121,cplex,1,5,10000,2767,0,1,0,74940000,24820000,19000,99779000
122,cplex,1,5,10000,8434,0,1,0,74869000,23238000,19000,98126000
123,cplex,1,5,10000,7998,0,1,0,74618000,23634000,19000,98271000
124,cplex,1,5,10000,1,0,1,0,87261000,26207000,31000,113499000
125,cplex,1,5,10000,3294,0,1,0,74519000,22090000,23000,96632000
126,cplex,1,5,10000,4908,0,1,0,76422000,25023000,20000,101465000
127,cplex,1,5,10000,2059,0,1,0,76373000,27577000,26000,103976000
128,cplex,1,5,10000,4163,0,1,0,77101000,28390000,20000,105511000
129,cplex,1,5,10000,198,0,1,0,74099000,24374000,20000,98493000
130,cplex,1,5,10000,6478,0,1,0,74664000,24427000,28000,99119000
131,cplex,1,5,10000,9613,0,1,0,75506000,25202000,19000,100727000
132,cplex,1,5,10000,5400,0,1,0,74810000,25229000,21000,100060000
133,cplex,1,5,10000,10000,0,1,0,80283000,24864000,35000,105182000
134,cplex,1,5,10000,9184,0,1,0,80218000,27292000,19000,107529000
135,cplex,1,5,10000,1110,0,1,0,80019000,28938000,24000,108981000
136,cplex,1,5,10000,1014,0,1,0,79115000,30996000,20000,110131000
137,cplex,1,5,10000,2,0,1,0,972918000,25437000,19000,998374000
138,cplex,1,5,10000,7042,0,1,0,76928000,25707000,19000,102654000
139,cplex,1,5,10000,1323,0,1,0,80202000,26817000,31000,107050000
140,cplex,1,5,10000,1238,0,1,0,77960000,26997000,19000,104976000
141,cplex,1,5,10000,38,0,1,0,74331000,26150000,19000,100500000
142,cplex,1,5,10000,1499,0,1,0,76355000,25737000,19000,102111000
143,cplex,1,5,10000,658,0,1,0,74495000,26800000,19000,101314000
144,cplex,1,5,10000,1808,0,1,0,73483000,26334000,20000,99837000
145,cplex,1,5,10000,4765,0,1,0,78378000,29672000,23000,108073000
146,cplex,1,5,10000,4,0,1,0,77869000,24459000,19000,102347000
147,cplex,1,5,10000,3787,0,1,0,75315000,25615000,19000,100949000
148,cplex,1,5,10000,3176,0,1,0,75529000,24615000,22000,100166000
149,cplex,1,5,10000,1677,0,1,0,76102000,24015000,18000,100135000
150,cplex,1,20,100,1,0,1,0,882000,724000,27000,1633000
151,cplex,1,20,100,35,0,1,0,1079000,788000,22000,1889000
152,cplex,1,20,100,1,0,1,0,935000,831000,13000,1779000
153,cplex,1,20,100,2,0,1,0,970000,747000,19000,1736000
154,cplex,1,20,100,25,0,1,0,1062000,744000,13000,1819000
155,cplex,1,20,100,9,0,1,0,827000,706000,25000,1558000
156,cplex,1,20,100,91,0,1,0,953000,708000,14000,1675000
157,cplex,1,20,100,3,0,1,0,870000,696000,13000,1579000
158,cplex,1,20,100,2,0,1,0,1110000,932000,20000,2062000
159,cplex,1,20,100,5,0,1,0,877000,826000,13000,1716000
160,cplex,1,20,100,4,0,1,0,1177000,895000,31000,2103000
161,cplex,1,20,100,43,0,1,0,837000,849000,13000,1699000
162,cplex,1,20,100,16,0,1,0,845000,838000,22000,1705000
163,cplex,1,20,100,8,0,1,0,1271000,835000,14000,2120000
164,cplex,1,20,100,3,0,1,0,956000,753000,16000,1725000
165,cplex,1,20,100,24,0,1,0,863000,859000,13000,1735000
166,cplex,1,20,100,61,0,1,0,858000,921000,14000,1793000
167,cplex,1,20,100,15,0,1,0,839000,787000,13000,1639000
168,cplex,1,20,100,20,0,1,0,845000,879000,13000,1737000
169,cplex,1,20,100,37,0,1,0,879000,823000,13000,1715000
170,cplex,1,20,100,1,0,1,0,866000,687000,13000,1566000
171,cplex,1,20,100,40,0,1,0,1001000,865000,12000,1878000
172,cplex,1,20,100,21,0,1,0,842000,897000,13000,1752000
173,cplex,1,20,100,13,0,1,0,828000,898000,23000,1749000
174,cplex,1,20,100,11,0,1,0,889000,795000,26000,1710000
175,cplex,1,20,100,66,0,1,0,914000,961000,17000,1892000
176,cplex,1,20,100,3,0,1,0,859000,919000,13000,1791000
177,cplex,1,20,100,16,0,1,0,919000,782000,22000,1723000
178,cplex,1,20,100,1,0,1,0,888000,904000,23000,1815000
179,cplex,1,20,100,3,0,1,0,846000,854000,13000,1713000
180,cplex,1,20,500,246,0,1,0,3859000,1904000,14000,5777000
181,cplex,1,20,500,61,0,1,0,3914000,1625000,14000,5553000
182,cplex,1,20,500,3,0,1,0,4073000,1544000,14000,5631000
183,cplex,1,20,500,173,0,1,0,3922000,1625000,26000,5573000
184,cplex,1,20,500,30,0,1,0,3811000,1760000,23000,5594000
185,cplex,1,20,500,354,0,1,0,3860000,1543000,14000,5417000
186,cplex,1,20,500,11,0,1,0,3919000,1838000,14000,5771000
187,cplex,1,20,500,5,0,1,0,4082000,1594000,14000,5690000
188,cplex,1,20,500,275,0,1,0,4052000,1777000,13000,5842000
189,cplex,1,20,500,292,0,1,0,3760000,1748000,15000,5523000
190,cplex,1,20,500,26,0,1,0,3909000,1568000,14000,5491000
191,cplex,1,20,500,3,0,1,0,4379000,1790000,523000,6692000
192,cplex,1,20,500,4,0,1,0,3903000,1718000,24000,5645000
193,cplex,1,20,500,24,0,1,0,3817000,1799000,23000,5639000
194,cplex,1,20,500,33,0,1,0,4087000,1754000,15000,5856000
195,cplex,1,20,500,500,0,1,0,4443000,1838000,17000,6298000
